ID,NAME,ADDR,X,Y,T_CNT,T_M_CNT,T_F_CNT,S_CNT,S_M_CNT,S_F_CNT,C_CNT,L1_C_CNT,L2_C_CNT,L3_C_CNT,STU_CNT,STU_M_CNT,STU_F_CNT,L1_STU_M_CNT,L1_STU_F_CNT,L2_STU_M_CNT,L2_STU_F_CNT,L3_STU_M_CNT,L3_STU_F_CNT,G_STU_CNT,G_STU_M_CNT,G_STU_F_CNT,NA_STU_CNT,NA_STU_M_CNT,NA_STU_F_CNT,SL_AREA,SB_AREA,AU_CNT,AU_AREA,CR_CNT,CR_AREA,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,國中專任教師數,國中男專任教師數,國中女專任教師數,國中職員數,國中男職員數,國中女職員數,國中班級數,國中一年級班級數,國中二年級班級數,國中三年級班級數,國中學生數,國中男學生數,國中女學生數,國中一年級男學生數,國中一年級女學生數,國中二年級男學生數,國中二年級女學生數,國中三年級男學生數,國中三年級女學生數,國中上學年畢業生數,國中上學年男畢業生數,國中上學年女畢業生數,國中原住民學生數,國中男原住民學生數,國中女原住民學生數,國中校地面積,國中校舍面積,國中禮堂座數,國中禮堂面積,國中教室間數,國中教室面積,資料時間
54526,縣立維真國中,[356]苗栗縣後龍鎮大庄里中山路252號,229210.61,2722841.03,35,11,24,6,1,5,12,4,4,4,229,108,121,30,43,37,35,41,43,100,51,49,4,1,3,19486,12203,1,0,43,0,112Y
54527,縣立大湖國中,[364]苗栗縣大湖鄉靜湖村民族路80號,236917.219,2702303.746,15,9,6,3,1,2,3,1,1,1,69,32,37,15,11,11,10,6,16,35,17,18,16,7,9,37471,14051,1,0,16,0,112Y
54528,縣立南湖國中,[364]苗栗縣大湖鄉義和村12號,235307.624,2699077.143,20,8,12,3,2,1,6,2,2,2,92,56,36,21,9,15,12,20,15,49,30,19,6,2,4,17848,4672,1,0,17,0,112Y
54529,縣立獅潭國中,[354]苗栗縣獅潭鄉新店村21號,242188.69,2715379.21,11,6,5,3,1,2,3,1,1,1,24,12,12,5,3,2,7,5,2,19,11,8,3,1,2,18893,5239,1,0,13,0,112Y
54531,縣立泰安國中(小),[365]苗栗縣泰安鄉大興村32之1號,240796.37,2701696.9,12,7,5,3,2,1,3,1,1,1,31,20,11,3,2,7,5,10,4,12,9,3,29,18,11,53159,5033,0,0,18,0,112Y
54532,縣立建國國中,[351]苗栗縣頭份市成功里建國路119號,240915.74,2732040.139,92,25,67,9,2,7,36,14,10,12,887,454,433,173,178,125,121,156,134,293,154,139,19,8,11,67865,13994,1,0,61,0,112Y
54534,縣立福興武術國中(小),[357]苗栗縣通霄鎮福興里58之2號,222401.192,2702183.17,18,7,11,5,2,3,6,2,2,2,65,50,15,17,8,16,4,17,3,28,20,8,9,7,2,16658,10571,1,0,16,0,112Y
54535,縣立新港國中(小),[356]苗栗縣後龍鎮校椅里校椅二路168號,232443.05,2722658.46,25,10,15,5,2,3,9,3,3,3,212,118,94,37,32,41,27,40,35,62,37,25,1,1,0,42068,18389,1,0,62,0,112Y
60323,國立中科實驗高級中學附設國中,[428]臺中市大雅區平和路227號,212028.748,2680515.527,0,0,0,0,0,0,15,5,5,5,397,221,176,80,59,71,59,70,58,124,61,63,7,2,5,0,0,0,0,0,0,112Y
61301,財團法人常春藤高中附設國中,[427]臺中市潭子區潭興路一段165巷320號,221217.808,2676583.067,0,0,0,0,0,0,7,3,2,2,274,140,134,45,47,50,36,45,51,82,40,42,3,0,3,0,0,0,0,0,0,112Y
61310,私立大明高中附設國中,[412]臺中市大里區新仁路三段210號,218074.42,2667946.37,0,0,0,0,0,0,4,0,2,2,102,51,51,0,0,21,33,30,18,65,44,21,2,0,2,0,0,0,0,0,0,112Y
61313,私立明道高中附設國中,[414]臺中市烏日區中山路一段497號,212969.967,2666887.203,0,0,0,0,0,0,60,20,20,20,2727,1585,1142,489,393,498,375,598,374,967,554,413,7,4,3,0,0,0,0,0,0,112Y
61314,私立僑泰高中附設國中,[412]臺中市大里區樹王路342號,216147.87,2667447.61,0,0,0,0,0,0,22,8,7,7,828,478,350,169,121,149,105,160,124,274,162,112,5,2,3,0,0,0,0,0,0,112Y
61315,私立華盛頓高中附設國中,[411]臺中市太平區?仔坑路26號(原弘仁),224122,2672580.01,0,0,0,0,0,0,18,6,6,6,804,458,346,160,127,156,108,142,111,271,147,124,6,5,1,0,0,0,0,0,0,112Y
61317,私立弘文高中附設國中,[427]臺中市潭子區弘文街100號,219963.422,2680127.268,0,0,0,0,0,0,23,8,7,8,1010,581,429,167,141,199,132,215,156,396,221,175,7,4,3,0,0,0,0,0,0,112Y
61318,私立立人高中附設國中,[412]臺中市大里區中興路二段380號,218591.916,2666748.493,0,0,0,0,0,0,16,5,5,6,596,339,257,107,90,104,72,128,95,189,102,87,4,0,4,0,0,0,0,0,0,112Y
61322,華德福大地實驗學校附設國中,[414]臺中市烏日區公園路36號,212155.872,2666418.099,0,0,0,0,0,0,3,1,1,1,33,21,12,4,3,8,5,9,4,8,3,5,0,0,0,0,0,0,0,0,0,112Y
63501,市立善水國中(小),[435]臺中市梧棲區梧南路50號,201604.845,2681990.914,12,5,7,3,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6614,4389,1,0,11,0,112Y
64308,市立后綜高中附設國中,[421]臺中市后里區廣福里三豐路三段968號,221846.029,2688965.433,0,0,0,0,0,0,31,10,11,10,770,408,362,135,114,137,117,136,131,277,129,148,22,16,6,0,0,0,0,0,0,112Y
64324,市立大里高中附設國中,[412]臺中市大里區國中路365號,217321.52,2665528.03,0,0,0,0,0,0,20,6,7,7,432,227,205,65,62,67,49,95,94,134,63,71,22,10,12,0,0,0,0,0,0,112Y
64328,市立新社高中附設國中,[426]臺中市新社區復盛里中和街三段國中巷10號,230425.411,2681248.258,0,0,0,0,0,0,17,5,6,6,386,191,195,48,71,62,59,81,65,158,88,70,13,4,9,0,0,0,0,0,0,112Y
64336,市立長億高中附設國中,[411]臺中市太平區長億里長億六街1號,221701.8,2667573.16,0,0,0,0,0,0,34,11,11,12,932,471,461,147,158,159,140,165,163,314,158,156,33,22,11,0,0,0,0,0,0,112Y
64342,市立中港高中附設國中,[435]臺中市梧棲區文昌路400號,203506.086,2682209.989,0,0,0,0,0,0,34,12,11,11,1109,561,548,177,189,200,168,184,191,353,167,186,16,9,7,0,0,0,0,0,0,112Y
64350,市立龍津高中附設國中,[434]臺中市龍井區三港路130號,201397.57,2677770.59,0,0,0,0,0,0,23,7,8,8,588,303,285,87,92,104,92,112,101,194,93,101,16,5,11,0,0,0,0,0,0,112Y
64406,市立神岡高工附設國中,[429]臺中市神岡區社南里中山路627號,217593.69,2682457.23,0,0,0,0,0,0,24,7,9,8,560,330,230,105,74,106,73,119,83,240,130,110,28,14,14,0,0,0,0,0,0,112Y
64501,市立豐原國中,[420]臺中市豐原區三豐路一段321號,221492.04,2683954.37,94,31,63,11,5,6,36,12,12,12,868,475,393,165,132,148,130,162,131,343,179,164,20,9,11,32303,14560,1,0,71,0,112Y
64502,市立豐東國中,[420]臺中市豐原區豐東路75號,222478.6,2682448.73,161,45,116,13,3,10,64,22,22,20,1722,869,853,305,294,268,284,296,275,627,314,313,28,10,18,25785,23813,0,0,119,0,112Y
64503,市立豐南國中,[420]臺中市豐原區豐南街151號,221245.6,2681558.62,128,41,87,12,2,10,51,16,17,18,1274,631,643,194,208,183,196,254,239,473,227,246,28,12,16,23496,14449,1,0,89,0,112Y
64504,市立潭子國中,[427]臺中市潭子區潭興路二段419巷1號,220385.69,2678294.46,61,20,41,8,2,6,26,7,10,9,522,261,261,84,97,70,70,107,94,181,84,97,40,13,27,32518,16844,1,0,56,0,112Y
64505,市立大雅國中,[428]臺中市大雅區學府路280號,214497.6,2679884.519,117,41,76,12,2,10,44,14,15,15,1011,512,499,182,159,164,161,166,179,359,172,187,74,42,32,34924,14113,1,0,61,0,112Y
64507,市立后里國中,[421]臺中市后里區眉山里中眉路169號,218975.91,2689231.472,47,17,30,9,1,8,18,5,7,6,394,207,187,65,68,65,56,77,63,161,80,81,14,5,9,60045,26566,1,0,48,0,112Y
64509,市立外埔國中,[438]臺中市外埔區大同里外埔路999號,214478.535,2691889.771,46,16,30,6,2,4,17,6,5,6,334,175,159,57,64,58,43,60,52,119,68,51,4,3,1,47248,4357,1,0,27,0,112Y
64510,市立大甲國中,[437]臺中市大甲區育英路186號,211697.925,2694216.494,136,38,98,12,3,9,53,18,17,18,1287,669,618,238,217,188,198,243,203,440,227,213,9,4,5,33680,14881,1,0,78,0,112Y
64511,市立日南國中,[437]臺中市大甲區中山路二段69之11號,214700.44,2696965.38,61,17,44,8,2,6,25,7,9,9,532,296,236,90,67,94,74,112,95,194,108,86,6,2,4,41719,9300,1,0,39,0,112Y
64512,市立大安國中,[439]臺中市大安區松雅里大安港路691號,209601.408,2695529.273,25,9,16,6,1,5,8,2,3,3,88,53,35,18,12,14,10,21,13,46,20,26,4,2,2,17426,6391,1,0,26,0,112Y
64513,市立清水國中,[436]臺中市清水區鰲峰路250號,205626.469,2684809.044,148,46,102,13,2,11,58,20,21,17,1494,752,742,265,259,252,235,235,248,522,265,257,23,14,9,39493,14893,1,0,74,0,112Y
64514,市立清泉國中,[436]臺中市清水區菁埔里臨海路27之2號,208563,2688970.01,39,15,24,7,4,3,14,4,5,5,263,137,126,51,38,43,43,43,45,113,57,56,3,2,1,24568,8371,1,0,27,0,112Y
64515,市立沙鹿國中,[433]臺中市沙鹿區中正街1號,205490.35,2681135.23,135,46,89,12,2,10,56,19,19,18,1450,755,695,255,228,247,229,253,238,474,236,238,20,11,9,32632,16225,1,0,79,0,112Y
